Region,Red river zoo
North Dakota,100
Minnesota,5
South Dakota,2
Kentucky,1
Nebraska,0
New Mexico,0
Iowa,0
Louisiana,0
Oklahoma,0
Ohio,0
Indiana,0
Arkansas,0
Wisconsin,0
Kansas,0
Illinois,0
Colorado,0
Texas,0
Tennessee,0
Michigan,0
Missouri,0
Washington,0
Arizona,0
Oregon,0
Virginia,0
Massachusetts,0
North Carolina,0
Alabama,0
South Carolina,0
Florida,0
Georgia,0
New York,0
Maryland,0
California,0
Pennsylvania,0
New Jersey,0
Alaska,0
Nevada,0
New Hampshire,0
Montana,0
Rhode Island,0
Mississippi,0
Maine,0
Idaho,0
Hawaii,0
Utah,0
Delaware,0
Vermont,0
District of Columbia,0
Connecticut,0
West Virginia,0
Wyoming,0
