Region,Jackson hole
Wyoming,100
Idaho,7
Montana,6
Utah,4
Colorado,2
South Dakota,1
Vermont,1
Alabama,1
Tennessee,1
District of Columbia,0
Mississippi,0
Nebraska,0
Minnesota,0
Georgia,0
Washington,0
New York,0
New Hampshire,0
Louisiana,0
Arkansas,0
Connecticut,0
Massachusetts,0
North Dakota,0
South Carolina,0
Oregon,0
North Carolina,0
Nevada,0
New Jersey,0
Arizona,0
Florida,0
California,0
Texas,0
Oklahoma,0
Kentucky,0
Kansas,0
Iowa,0
Illinois,0
Maine,0
Missouri,0
Wisconsin,0
Virginia,0
Pennsylvania,0
Alaska,0
New Mexico,0
Ohio,0
Rhode Island,0
Maryland,0
Indiana,0
Michigan,0
Hawaii,0
Delaware,0
West Virginia,0
