Region,Crimson Tide
Alabama,100
Mississippi,19
Georgia,14
Tennessee,13
Louisiana,7
Arkansas,7
South Carolina,6
Florida,5
Kentucky,4
North Carolina,4
Ohio,3
South Dakota,3
West Virginia,3
North Dakota,3
Oklahoma,3
Missouri,3
Wyoming,3
Virginia,3
Indiana,3
Texas,3
Kansas,3
New Mexico,2
Nebraska,2
Illinois,2
Montana,2
Iowa,2
Hawaii,2
Michigan,2
Idaho,2
Pennsylvania,2
Nevada,2
Maryland,2
Delaware,2
Colorado,2
Wisconsin,2
Alaska,2
Rhode Island,2
District of Columbia,2
Arizona,2
Maine,2
Utah,1
New Hampshire,1
Minnesota,1
New York,1
Connecticut,1
Washington,1
Vermont,1
New Jersey,1
Massachusetts,1
Oregon,1
California,1
