Region,Boomer sooner
Oklahoma,100
Kansas,10
Texas,8
Arkansas,8
Nebraska,7
Missouri,5
Colorado,3
New Mexico,3
Mississippi,3
Iowa,3
Tennessee,3
Wyoming,2
Alabama,2
Louisiana,2
Montana,2
South Dakota,2
Idaho,2
Utah,2
Vermont,1
Georgia,1
Arizona,1
Kentucky,1
North Carolina,1
West Virginia,1
South Carolina,1
Virginia,1
Illinois,1
Hawaii,1
Indiana,1
District of Columbia,1
Ohio,1
Nevada,1
Maryland,1
Minnesota,1
Florida,1
Washington,1
Oregon,0
Pennsylvania,0
Michigan,0
Wisconsin,0
California,0
New Jersey,0
Massachusetts,0
Connecticut,0
New Hampshire,0
New York,0
Rhode Island,0
North Dakota,0
Delaware,0
Maine,0
Alaska,0
