Region,las vegas casinos
Nevada,100
New Mexico,9
Arizona,8
Hawaii,7
Utah,6
California,5
Wyoming,5
North Dakota,4
Colorado,4
Idaho,4
Alaska,4
Nebraska,3
Oregon,3
Montana,3
Texas,3
Kansas,3
Minnesota,3
Iowa,3
Washington,3
Oklahoma,3
Wisconsin,3
Illinois,3
Ohio,3
South Dakota,3
Mississippi,2
Michigan,2
Missouri,2
Indiana,2
Louisiana,2
Arkansas,2
Rhode Island,2
Alabama,2
New York,2
Kentucky,2
Florida,2
Tennessee,2
New Jersey,2
Delaware,2
Georgia,2
Pennsylvania,1
South Carolina,1
Connecticut,1
Massachusetts,1
District of Columbia,1
North Carolina,1
New Hampshire,1
Virginia,1
Maryland,1
Vermont,1
West Virginia,1
Maine,1
