Region,Ben & Jerry's
Vermont,100
New Hampshire,23
Rhode Island,18
Massachusetts,16
Connecticut,16
Maine,12
District of Columbia,10
New Jersey,9
Virginia,8
New York,8
Maryland,8
Washington,7
Oregon,7
North Carolina,7
Pennsylvania,7
South Carolina,7
Minnesota,6
Nevada,6
Illinois,6
Tennessee,6
California,6
Florida,6
Colorado,6
Delaware,6
Michigan,5
Utah,5
Georgia,5
Ohio,5
Wisconsin,5
Arizona,5
Nebraska,5
Alaska,4
Missouri,4
Iowa,4
Indiana,4
Hawaii,4
Idaho,4
Texas,4
Montana,4
Wyoming,4
Louisiana,3
West Virginia,3
North Dakota,3
South Dakota,3
Kansas,3
Kentucky,3
Oklahoma,3
Alabama,3
Mississippi,3
New Mexico,3
Arkansas,2
